"","upc","descrip.X1","descrip.X2","descrip.X3","descrip.X4","descrip.X5","descrip.X6","price","q","sales","volsales","unit","descrip1"
"151", 3410000007,MILLER,HIGH,LIFE,BEE,MILLER,HIGH,0.53243238,4.816798e+04,2.286130e+04,1.709963e+07,"Oz","MILLER HIGH LIFE BEE"
"152", 3410000008,MILLER,HIGH,LIFE,N.R,MILLER,HIGH,0.66314441,1.387005e+04,8.772640e+03,4.923869e+06,"Oz","MILLER HIGH LIFE N.R"
"153", 3410000031,MILLER,HIGH,LIFE,N.R,MILLER,HIGH,0.68124354,9.062853e+04,5.666295e+04,3.217313e+07,"Oz","MILLER HIGH LIFE N.R"
"154", 3410000091,MAGNUM,MALT,LIQUOR,MAGNUM,MALT,LIQUOR,0.36612171,1.525826e+04,5.297070e+03,5.416682e+06,"Oz","MAGNUM MALT LIQUOR"
"155", 3410000104,MEISTER,BRAU,BEER,MEISTER,BRAU,BEER,0.38303834,2.348699e+05,8.410438e+04,8.337882e+07,"Oz","MEISTER BRAU BEER"
"156", 3410000129,MILLER,RED,DOG,CANS,MILLER,RED,0.66460901,1.187005e+04,7.883750e+03,4.213869e+06,"Oz","MILLER RED DOG CANS"
"157", 3410000144,RED,DOG,22OZ,NR,RED,DOG,0.85619366,1.869378e+02,1.581800e+02,6.636294e+04,"Oz","RED DOG 22OZ NR"
"158", 3410000154,MILWAUKEE'S,BEST,BEE,MILWAUKEE'S,BEST,BEE,0.38682383,4.703216e+05,1.743064e+05,1.669642e+08,"Oz","MILWAUKEE'S BEST BEE"
"159", 3410000304,MILLER,SHARP'S,N/A,C,MILLER,SHARP'S,0.51312816,8.555555e+04,4.393358e+04,3.037222e+07,"Oz","MILLER SHARP'S N/A C"
"160", 3410000354,MILLER,LITE,BEER,MILLER,LITE,BEER,0.63286161,1.302167e+06,8.167133e+05,4.622693e+08,"Oz","MILLER LITE BEER"
"161", 3410000357,MILLER,LITE,BEER,MILLER,LITE,BEER,0.61262196,3.086174e+04,1.863356e+04,1.095592e+07,"Oz","MILLER LITE BEER"
"162", 3410000358,MILLER,LITE,BEER,N.R,MILLER,LITE,0.67511779,1.435789e+04,9.490010e+03,5.097052e+06,"Oz","MILLER LITE BEER N.R"
"163", 3410000359,MILLER,LITE,40OZ,NR,MILLER,LITE,0.59716493,7.054321e+03,4.212230e+03,2.504284e+06,"Oz","MILLER LITE 40OZ NR"
"164", 3410000369,MILLER,LITE,22OZ,NR,MILLER,LITE,0.86756110,1.796070e+02,1.558200e+02,6.376047e+04,"Oz","MILLER LITE 22OZ NR"
"165", 3410000382,MILLER,LITE,BEER,N.R,MILLER,LITE,0.69234782,1.258035e+05,8.629372e+04,4.466024e+07,"Oz","MILLER LITE BEER N.R"
"166", 3410000544,LEINENKUGEL,RED,LEINENKUGEL,RED,LEINENKUGEL,RED,1.07943340,7.587477e+02,8.100200e+02,2.693554e+05,"Oz","LEINENKUGEL RED"
"167", 3410000554,MILLER,GENUINE,DRAFT,MILLER,GENUINE,DRAFT,0.63338858,7.791169e+05,4.902183e+05,2.765865e+08,"Oz","MILLER GENUINE DRAFT"
"168", 3410000559,MILLER,GENUINE,DRAFT,MILLER,GENUINE,DRAFT,0.59719855,1.759082e+04,1.050521e+04,6.244740e+06,"Oz","MILLER GENUINE DRAFT"
"169", 3410000569,MILLER,GENUINE,DRAFT,MILLER,GENUINE,DRAFT,0.86756110,4.710101e+02,4.086300e+02,1.672086e+05,"Oz","MILLER GENUINE DRAFT"
"170", 3410000581,MILLER,GENUINE,DRAFT,MILLER,GENUINE,DRAFT,0.71358973,6.715634e+04,4.793121e+04,2.384050e+07,"Oz","MILLER GENUINE DRAFT"
"171", 3410000654,MILWAUKEE'S,BEST,LIG,MILWAUKEE'S,BEST,LIG,0.38607368,2.101521e+05,7.826748e+04,7.460400e+07,"Oz","MILWAUKEE'S BEST LIG"
"172", 3410000769,LEINENKUGEL,LIMITED,LEINENKUGEL,LIMITED,LEINENKUGEL,LIMITED,1.07497010,2.327559e+02,2.491800e+02,8.262836e+04,"Oz","LEINENKUGEL LIMITED"
"173", 3410000879,ICEHOUSE,CAN,ICEHOUSE,CAN,ICEHOUSE,CAN,0.65595770,9.974683e+03,6.535270e+03,3.541013e+06,"Oz","ICEHOUSE CAN"
"174", 3410000894,ICEHOUSE,22OX,NR,ICEHOUSE,22OX,NR,0.86756110,2.749086e+01,2.385000e+01,9.759255e+03,"Oz","ICEHOUSE 22OX NR"
"175", 3410000904,MILLER,GENUINE,DRAFT,MILLER,GENUINE,DRAFT,0.63240904,2.986347e+05,1.877964e+05,1.060153e+08,"Oz","MILLER GENUINE DRAFT"
"176", 3410001225,MILLER,HIGH,LIFE,N.R,MILLER,HIGH,0.53295493,2.639122e+02,1.348600e+02,9.368885e+04,"Oz","MILLER HIGH LIFE N.R"
"177", 3410001306,MILLER,HIGH,LIFE,BEE,MILLER,HIGH,0.46788734,9.591531e+05,4.368219e+05,3.404993e+08,"Oz","MILLER HIGH LIFE BEE"
"178", 3410001341,MILLER,HIGH,LIFE,PAR,MILLER,HIGH,0.38567725,1.743230e+06,6.557467e+05,6.188468e+08,"Oz","MILLER HIGH LIFE PAR"
"179", 3410001347,MILLER,HIGH,LIFE,PAR,MILLER,HIGH,0.39238968,2.699103e+02,1.059100e+02,9.581814e+04,"Oz","MILLER HIGH LIFE PAR"
"180", 3410001505,MILLER,HIGH,LIFE,LNN,MILLER,HIGH,0.60861945,5.699065e+05,3.240823e+05,2.023168e+08,"Oz","MILLER HIGH LIFE LNN"
"181", 3410001518,MILLER,REG,BEER,MILLER,REG,BEER,0.64092731,5.131627e+01,3.289000e+01,1.821728e+04,"Oz","MILLER REG BEER"
"182", 3410001525,MILLER,HIGH,LIFE,N.R,MILLER,HIGH,0.61448532,3.055084e+05,1.739387e+05,1.084555e+08,"Oz","MILLER HIGH LIFE N.R"
"183", 3410001528,MILLER,HIGH,LIFE,N.R,MILLER,HIGH,0.56639606,6.334614e+05,3.398556e+05,2.248788e+08,"Oz","MILLER HIGH LIFE N.R"
"184", 3410001579,MILLER,HIGH,LIFE,NR,MILLER,HIGH,0.82893890,3.891756e+04,3.185197e+04,1.381573e+07,"Oz","MILLER HIGH LIFE NR"
"185", 3410001602,MILLER,HIGH,LIFE,BEE,MILLER,HIGH,0.57428598,4.140663e+05,2.267114e+05,1.469935e+08,"Oz","MILLER HIGH LIFE BEE"
"186", 3410007306,MILWAUKEE'S,BEST,LIG,MILWAUKEE'S,BEST,LIG,0.31915849,4.316645e+05,1.356368e+05,1.532409e+08,"Oz","MILWAUKEE'S BEST LIG"
"187", 3410007602,MILWAUKEE'S,BEST,LIG,MILWAUKEE'S,BEST,LIG,0.35813630,9.527232e+04,3.395069e+04,3.382167e+07,"Oz","MILWAUKEE'S BEST LIG"
"188", 3410010505,MILLER,SHARP'S,N/A,L,MILLER,SHARP'S,0.55772424,1.183496e+06,6.548038e+05,4.201413e+08,"Oz","MILLER SHARP'S N/A L"
"189", 3410010602,SHARPS,NON-ALCOHOLIC,SHARPS,NON-ALCOHOLIC,SHARPS,NON-ALCOHOLIC,0.48041898,3.036070e+05,1.420901e+05,1.077805e+08,"Oz","SHARPS NON-ALCOHOLIC"
"190", 3410015304,MILLER,GENUINE,DRAFT,MILLER,GENUINE,DRAFT,0.63521111,2.999003e+01,1.905000e+01,1.064646e+04,"Oz","MILLER GENUINE DRAFT"
"191", 3410015306,MILLER,GENUINE,DRFT,MILLER,GENUINE,DRFT,0.47362673,4.618416e+06,2.134947e+06,1.639538e+09,"Oz","MILLER GENUINE DRFT"
"192", 3410015505,MILLER,GEN,DRFT,LT,L,MILLER,0.61336702,1.119114e+06,6.447673e+05,3.972854e+08,"Oz","MILLER GEN DRFT LT L"
"193", 3410015525,MILLER,GENUINE,DRFT,MILLER,GENUINE,DRFT,0.61923689,4.774592e+05,2.742941e+05,1.694980e+08,"Oz","MILLER GENUINE DRFT"
"194", 3410015528,MILLER,GENUINE,DRFT,MILLER,GENUINE,DRFT,0.57178885,1.555103e+06,8.371813e+05,5.520615e+08,"Oz","MILLER GENUINE DRFT"
"195", 3410015579,MILLER,GEN,DRFT,LT,L,MILLER,0.83214915,5.011734e+04,4.081596e+04,1.779165e+07,"Oz","MILLER GEN DRFT LT L"
"196", 3410015602,MILLER,GENUINE,DRAFT,MILLER,GENUINE,DRAFT,0.58441502,1.142008e+06,6.348898e+05,4.054129e+08,"Oz","MILLER GENUINE DRAFT"
"197", 3410016505,MILLER,RESERVE,LT,LN,MILLER,RESERVE,0.66390198,3.305501e+04,2.109325e+04,1.173453e+07,"Oz","MILLER RESERVE LT LN"
"198", 3410017306,MILLER,GENUINE,DRAFT,MILLER,GENUINE,DRAFT,0.47426748,9.145591e+06,4.222496e+06,3.246685e+09,"Oz","MILLER GENUINE DRAFT"
"199", 3410017505,MILLER,GEN,DRFT,LNNR,MILLER,GEN,0.61394000,2.455119e+06,1.410313e+06,8.715671e+08,"Oz","MILLER GEN DRFT LNNR"
"200", 3410017525,MILLER,GENUINE,DRAFT,MILLER,GENUINE,DRAFT,0.62053001,1.010040e+06,5.791920e+05,3.585643e+08,"Oz","MILLER GENUINE DRAFT"
"201", 3410017528,MILLER,GENUINE,DRAFT,MILLER,GENUINE,DRAFT,0.57404423,3.380032e+06,1.822241e+06,1.199911e+09,"Oz","MILLER GENUINE DRAFT"
"202", 3410017579,MILLER,GENUINE,DRAFT,MILLER,GENUINE,DRAFT,0.83228981,9.184446e+04,7.539091e+04,3.260478e+07,"Oz","MILLER GENUINE DRAFT"
"203", 3410017602,MILLER,GENUINE,DRAFT,MILLER,GENUINE,DRAFT,0.58658457,2.101389e+06,1.167135e+06,7.459932e+08,"Oz","MILLER GENUINE DRAFT"
"204", 3410021505,LOWENBRAU,BEER,NR,BT,LOWENBRAU,BEER,0.67256641,7.321106e+05,4.631717e+05,2.598993e+08,"Oz","LOWENBRAU BEER NR BT"
"205", 3410021525,LOWENBRAU,BEER,NR,BT,LOWENBRAU,BEER,0.63187671,1.199601e+01,7.580000e+00,4.258584e+03,"Oz","LOWENBRAU BEER NR BT"
"206", 3410021526,LOWENBRAU,SPECIAL,NR,LOWENBRAU,SPECIAL,NR,0.69939917,5.398205e+02,3.775500e+02,1.916363e+05,"Oz","LOWENBRAU SPECIAL NR"
"207", 3410021528,LOWENBRAU,SPECIAL,NR,LOWENBRAU,SPECIAL,NR,0.67616791,2.186873e+05,1.424527e+05,7.763399e+07,"Oz","LOWENBRAU SPECIAL NR"
"208", 3410021579,LOWENBRAU,BEER,LOWENBRAU,BEER,LOWENBRAU,BEER,0.85427219,2.180475e+04,1.850109e+04,7.740686e+06,"Oz","LOWENBRAU BEER"
"209", 3410022505,LOWENBRAU,DARK,BEER,LOWENBRAU,DARK,BEER,0.64113802,1.104353e+05,6.802220e+04,3.920452e+07,"Oz","LOWENBRAU DARK BEER"
"210", 3410022525,LOWENBRAU,DARK,BEER,LOWENBRAU,DARK,BEER,0.58186007,1.199601e+01,6.980000e+00,4.258584e+03,"Oz","LOWENBRAU DARK BEER"
"211", 3410023505,LOWENBRAU,LIGHT,NR,B,LOWENBRAU,LIGHT,0.63393158,8.541160e+04,5.201623e+04,3.032112e+07,"Oz","LOWENBRAU LIGHT NR B"
"212", 3410029306,MEISTER,BRAU,BEER,MEISTER,BRAU,BEER,0.32367620,3.011958e+05,9.360596e+04,1.069245e+08,"Oz","MEISTER BRAU BEER"
"213", 3410029602,MEISTER,BRAU,BEER,MEISTER,BRAU,BEER,0.35422295,1.066565e+05,3.714743e+04,3.786307e+07,"Oz","MEISTER BRAU BEER"
"214", 3410031306,MILWAUKEE'S,BEST,BEE,MILWAUKEE'S,BEST,BEE,0.31973460,7.007830e+05,2.185954e+05,2.487780e+08,"Oz","MILWAUKEE'S BEST BEE"
"215", 3410031602,MILWAUKEE'S,BEST,BEE,MILWAUKEE'S,BEST,BEE,0.35718399,2.700662e+05,9.574260e+04,9.587350e+07,"Oz","MILWAUKEE'S BEST BEE"
"216", 3410032505,MILLER,RESERVE,LNNR,MILLER,RESERVE,LNNR,0.69172603,7.459719e+04,4.856720e+04,2.648200e+07,"Oz","MILLER RESERVE LNNR"
"217", 3410048505,LEINENKUGELS,HONEY,W,LEINENKUGELS,HONEY,W,0.91109473,2.370412e+04,2.157098e+04,8.414962e+06,"Oz","LEINENKUGELS HONEY W"
"218", 3410050306,LEINENKUGEL,PREM,REG,LEINENKUGEL,PREM,REG,0.52463335,3.574811e+03,1.850510e+03,1.269058e+06,"Oz","LEINENKUGEL PREM REG"
"219", 3410050505,LEINENKUGEL,PREM,REG,LEINENKUGEL,PREM,REG,0.65611827,2.813245e+05,1.780710e+05,9.987018e+07,"Oz","LEINENKUGEL PREM REG"
"220", 3410050525,LEINENKUGEL,PREM,REG,LEINENKUGEL,PREM,REG,0.62418306,1.653650e+04,9.990900e+03,5.870458e+06,"Oz","LEINENKUGEL PREM REG"
"221", 3410050528,LEINENKUGEL,NR,BTLS,LEINENKUGEL,NR,BTLS,0.65446579,6.313501e+04,3.963634e+04,2.241293e+07,"Oz","LEINENKUGEL NR BTLS"
"222", 3410051505,LEINNKGL,LNGNCK,PRM,LEINNKGL,LNGNCK,PRM,0.63748002,5.331027e+04,3.311772e+04,1.892515e+07,"Oz","LEINNKGL LNGNCK PRM"
"223", 3410052505,LEINENKUGEL,LIMITED,LEINENKUGEL,LIMITED,LEINENKUGEL,LIMITED,0.78641278,8.456588e+04,6.327192e+04,3.002089e+07,"Oz","LEINENKUGEL LIMITED"
"224", 3410053505,LEINENKUGEL,BOCK,BEE,LEINENKUGEL,BOCK,BEE,0.79558522,2.639122e+04,1.904861e+04,9.368885e+06,"Oz","LEINENKUGEL BOCK BEE"
"225", 3410054574,LEINENKUGEL,125TH,AN,LEINENKUGEL,125TH,AN,1.15614140,4.054652e+03,4.459530e+03,1.439401e+06,"Oz","LEINENKUGEL 125TH AN"
"226", 3410057306,MILLER,LITE,BEER,MILLER,LITE,BEER,0.47427130,1.409162e+07,6.539291e+06,5.002525e+09,"Oz","MILLER LITE BEER"
"227", 3410057505,MILLER,LITE,LONGNECK,MILLER,LITE,LONGNECK,0.61412573,1.874281e+06,1.082152e+06,6.653697e+08,"Oz","MILLER LITE LONGNECK"
"228", 3410057525,MILLER,LITE,BEER,N.R,MILLER,LITE,0.62166703,7.927984e+05,4.560206e+05,2.814434e+08,"Oz","MILLER LITE BEER N.R"
"229", 3410057528,MILLER,LITE,BEER,N.R,MILLER,LITE,0.57335526,2.846893e+06,1.544306e+06,1.010647e+09,"Oz","MILLER LITE BEER N.R"
"230", 3410057579,MILLER,LITE,NR,BTLS,MILLER,LITE,0.83277929,7.829347e+04,6.429513e+04,2.779418e+07,"Oz","MILLER LITE NR BTLS"
"231", 3410057602,MILLER,LITE,BEER,MILLER,LITE,BEER,0.58733726,3.228798e+06,1.812962e+06,1.146223e+09,"Oz","MILLER LITE BEER"
"232", 3410059505,LEINENKUGEL,RED,LAGE,LEINENKUGEL,RED,LAGE,0.87471300,1.018101e+05,8.645687e+04,3.614260e+07,"Oz","LEINENKUGEL RED LAGE"
"233", 3410059574,LEINENKUGEL,RED,NR,B,LEINENKUGEL,RED,0.79731870,2.386007e+04,1.841595e+04,8.470324e+06,"Oz","LEINENKUGEL RED NR B"
"234", 3410062302,MILLER,ICEHOUSE,CANS,MILLER,ICEHOUSE,CANS,0.49933264,1.199601e+01,5.990000e+00,4.258584e+03,"Oz","MILLER ICEHOUSE CANS"
"235", 3410062306,MILLER,ICEHOUSE,CANS,MILLER,ICEHOUSE,CANS,0.48645401,5.237219e+05,2.501369e+05,1.859213e+08,"Oz","MILLER ICEHOUSE CANS"
"236", 3410062505,MILLER,ICEHOUSE,LN,MILLER,ICEHOUSE,LN,0.63902384,4.082722e+05,2.488639e+05,1.449366e+08,"Oz","MILLER ICEHOUSE LN"
"237", 3410062528,MILLER,ICEHOUSE,N.R.,MILLER,ICEHOUSE,N.R.,0.58385050,7.371189e+05,4.044042e+05,2.616772e+08,"Oz","MILLER ICEHOUSE N.R."
"238", 3410062602,MILLER,ICEHOUSE,CANS,MILLER,ICEHOUSE,CANS,0.64667910,1.413130e+04,9.109220e+03,5.016612e+06,"Oz","MILLER ICEHOUSE CANS"
"239", 3410064306,MILLER,LITE,"ICE",MILLER,LITE,"ICE",0.48482499,5.092307e+05,2.422109e+05,1.807769e+08,"Oz","MILLER LITE ""ICE"""
"240", 3410064505,MILLER,LITE,"ICE",L.,MILLER,LITE,0.64656848,1.841868e+05,1.126800e+05,6.538630e+07,"Oz","MILLER LITE ""ICE"" L."
"241", 3410064528,MILLER,LITE,"ICE",N.,MILLER,LITE,0.57510155,4.499224e+05,2.437916e+05,1.597225e+08,"Oz","MILLER LITE ""ICE"" N."
"242", 3410064602,MILLER,LITE,ICE,MILLER,LITE,ICE,0.60847378,2.943821e+04,1.732651e+04,1.045057e+07,"Oz","MILLER LITE ICE"
"243", 3410067306,MILLER,RED,DOG,CANS,MILLER,RED,0.50632381,2.185433e+05,1.082799e+05,7.758288e+07,"Oz","MILLER RED DOG CANS"
"244", 3410067505,MILLER,RED,DOG,NR,BT,MILLER,0.64479887,1.442760e+05,9.135020e+04,5.121799e+07,"Oz","MILLER RED DOG NR BT"
"245", 3410067528,MILLER,RED,DOG,NR,BT,MILLER,0.60556668,3.533065e+05,2.003017e+05,1.254238e+08,"Oz","MILLER RED DOG NR BT"
"246", 3410070505,MILLER,RESEVER,AMBER,MILLER,RESEVER,AMBER,0.76181000,2.522161e+04,1.817247e+04,8.953673e+06,"Oz","MILLER RESEVER AMBER"
"247", 3410071505,MILLER,RESERVE,VELVE,MILLER,RESERVE,VELVE,0.93197644,6.237926e+02,5.813600e+02,2.214464e+05,"Oz","MILLER RESERVE VELVE"
"248", 3410078505,LEINENKUGEL,WINTER,L,LEINENKUGEL,WINTER,L,0.86397022,1.297968e+04,1.103546e+04,4.607788e+06,"Oz","LEINENKUGEL WINTER L"
"249", 3410079505,LEINENKUGEL,ICE,LEINENKUGEL,ICE,LEINENKUGEL,ICE,0.87957996,7.701439e+03,6.637920e+03,2.734011e+06,"Oz","LEINENKUGEL ICE"
"250", 3682493103,WIT,BEER,WIT,BEER,WIT,BEER,0.99866527,1.199601e+01,1.198000e+01,4.258584e+03,"Oz","WIT BEER"
"251", 3692011111,GOOSE,ISLAND,ALE,GOOSE,ISLAND,ALE,0.89386857,5.398205e+01,4.751000e+01,1.916363e+04,"Oz","GOOSE ISLAND ALE"
"252", 3692011115,GOOSE,ISLAND,KILGUBB,GOOSE,ISLAND,KILGUBB,0.98477179,5.398205e+01,5.291000e+01,1.916363e+04,"Oz","GOOSE ISLAND KILGUBB"
"253", 3692011118,GOOSE,ISLAND,GOOSE,ISLAND,GOOSE,ISLAND,0.87362373,2.399202e+01,2.096000e+01,8.517168e+03,"Oz","GOOSE ISLAND"
"254", 3828194001,DOM,MICRO,BREW,MIX,N,DOM,1.16198840,1.578555e+05,1.820031e+05,5.603871e+07,"Oz","DOM MICRO BREW MIX N"
"255", 3876630214,ASAHI,SUPER,DRY,BIG,ASAHI,SUPER,1.20723510,3.796738e+02,4.586900e+02,1.347842e+05,"Oz","ASAHI SUPER DRY BIG"
"256", 3876636120,ASAHI,BEER,ASAHI,BEER,ASAHI,BEER,1.05467360,1.481507e+03,1.558030e+03,5.259351e+05,"Oz","ASAHI BEER"
"257", 4006311676,KIRIN,LIGHT,BEER,NR,KIRIN,LIGHT,0.83194321,1.799402e+01,1.497000e+01,6.387876e+03,"Oz","KIRIN LIGHT BEER NR"
"258", 4006311696,KIRIN,BEER,NR,BTL,KIRIN,BEER,0.89605653,7.491509e+03,6.687810e+03,2.659486e+06,"Oz","KIRIN BEER NR BTL"
"259", 4006315706,KIRIN,DRY,BEER,NR,BT,KIRIN,0.85478735,1.949352e+03,1.660450e+03,6.920199e+05,"Oz","KIRIN DRY BEER NR BT"
"260", 4052210016,BELLS,PALE,ALE,BELLS,PALE,ALE,1.08202640,5.998005e+00,6.490000e+00,2.129292e+03,"Oz","BELLS PALE ALE"
"261", 4185100104,TOSELLI,NON-ALCOHOLI,TOSELLI,NON-ALCOHOLI,TOSELLI,NON-ALCOHOLI,2.64099310,2.577465e+03,6.706790e+03,9.150000e+05,"ML","TOSELLI NON-ALCOHOLI"
"262", 4199900007,PETE'S,SEASONAL,BREW,PETE'S,SEASONAL,BREW,1.19970060,6.487843e+02,7.815300e+02,2.303184e+05,"Oz","PETE'S SEASONAL BREW"
"263", 4257205715,CLAUSTHALER,GERMAN,N,CLAUSTHALER,GERMAN,N,0.99608898,8.805072e+04,8.609617e+04,3.125801e+07,"Oz","CLAUSTHALER GERMAN N"
"264", 4323700007,NEW,AMSTERDAM,BLONDE,NEW,AMSTERDAM,BLONDE,1.01985870,4.738424e+02,4.862100e+02,1.682141e+05,"Oz","NEW AMSTERDAM BLONDE"
"265", 4323700008,NEW,AMSTERDAM,BLACK/,NEW,AMSTERDAM,BLACK/,1.01950550,1.199601e+02,1.228000e+02,4.258584e+04,"Oz","NEW AMSTERDAM BLACK/"
"266", 4323700100,NEW,AMSTERDAM,BEER,NEW,AMSTERDAM,BEER,1.01950550,5.998005e+01,6.090000e+01,2.129292e+04,"Oz","NEW AMSTERDAM BEER"
"267", 4323700200,NEW,AMSTERDAM,ALE,NEW,AMSTERDAM,ALE,0.99866527,3.598803e+01,3.594000e+01,1.277575e+04,"Oz","NEW AMSTERDAM ALE"
"268", 4323700300,NEW,AMSTERDAM,LIGHT,NEW,AMSTERDAM,LIGHT,1.16538740,1.799402e+01,2.097000e+01,6.387876e+03,"Oz","NEW AMSTERDAM LIGHT"
"269", 4327900100,COORS,PARTY,BALL,TAP,COORS,PARTY,0.87336624,2.627126e+03,2.286810e+03,9.326299e+05,"Oz","COORS PARTY BALL TAP"
"270", 4523810001,RAZOR'S,EDGE,RAZOR'S,EDGE,RAZOR'S,EDGE,1.18141840,2.039322e+02,2.401600e+02,7.239593e+04,"Oz","RAZOR'S EDGE"
"271", 4948308600,HACKER,PSCHORR,DARK,HACKER,PSCHORR,DARK,1.33210950,1.799402e+02,2.397000e+02,6.387876e+04,"Oz","HACKER PSCHORR DARK"
"272", 4948311200,HACKER-PSCHORR,WEISS,HACKER-PSCHORR,WEISS,HACKER-PSCHORR,WEISS,1.41547050,2.225260e+03,3.149790e+03,7.899673e+05,"Oz","HACKER-PSCHORR WEISS"
"273", 4948318000,HACKER,PSCHOOR,NR,BT,HACKER,PSCHOOR,1.36354700,5.572147e+03,7.595710e+03,1.978112e+06,"Oz","HACKER PSCHOOR NR BT"
"274", 4948361740,PSCHORR,BRAU,WEISS,N,PSCHORR,BRAU,1.41348760,1.441372e+04,2.037362e+04,5.116872e+06,"Oz","PSCHORR BRAU WEISS N"
"275", 5093961201,BOULDER,PALE,ALE,BOULDER,PALE,ALE,0.90274745,2.939023e+03,2.617590e+03,1.043353e+06,"Oz","BOULDER PALE ALE"
"276", 5093961206,BOULDER,BROWN,ALE,BOULDER,BROWN,ALE,0.87849545,1.397535e+03,1.213170e+03,4.961250e+05,"Oz","BOULDER BROWN ALE"
"277", 5093961207,BOULDER,AMBER,BOULDER,AMBER,BOULDER,AMBER,0.89171052,2.789073e+03,2.448750e+03,9.901208e+05,"Oz","BOULDER AMBER"
"278", 5230000002,OLD,MILWAUKEE,LIGHT,OLD,MILWAUKEE,LIGHT,0.46892241,4.028260e+04,1.879795e+04,1.430033e+07,"Oz","OLD MILWAUKEE LIGHT"
"279", 5230000012,SCHLITZ,BEER,SCHLITZ,BEER,SCHLITZ,BEER,0.40539667,5.461784e+04,2.035863e+04,1.938933e+07,"Oz","SCHLITZ BEER"
"280", 5230000022,OLD,MILWAUKEE,BEER,OLD,MILWAUKEE,BEER,0.46312767,1.516956e+05,6.945142e+04,5.385192e+07,"Oz","OLD MILWAUKEE BEER"
"281", 5230000026,OLD,MILWAUKEE-REGULA,OLD,MILWAUKEE-REGULA,OLD,MILWAUKEE-REGULA,0.40026847,8.151956e+03,3.173900e+03,2.893944e+06,"Oz","OLD MILWAUKEE-REGULA"
"282", 5230000027,OLD,MILWAUKEE,BEER,N,OLD,MILWAUKEE,0.42911977,1.088638e+04,4.690670e+03,3.864665e+06,"Oz","OLD MILWAUKEE BEER N"
"283", 5230000035,OLD,MILWAUKEE,N.A.,C,OLD,MILWAUKEE,0.44610131,2.812225e+05,1.257025e+05,9.983398e+07,"Oz","OLD MILWAUKEE N.A. C"
"284", 5230000042,SCHLITZ,MALT,LIQUOR,SCHLITZ,MALT,LIQUOR,0.59064543,2.747087e+03,1.618020e+03,9.752157e+05,"Oz","SCHLITZ MALT LIQUOR"
"285", 5230000046,SCHILTZ,MALT,LIQUOR,SCHILTZ,MALT,LIQUOR,0.47650215,5.598138e+02,2.445400e+02,1.987339e+05,"Oz","SCHILTZ MALT LIQUOR"
"286", 5230000047,SCHLITZ,MALT,LIQUOR,SCHLITZ,MALT,LIQUOR,0.52211916,1.288238e+04,6.749700e+03,4.573246e+06,"Oz","SCHLITZ MALT LIQUOR"
"287", 5230000057,SCHLITZ,RED,BULL,NR,SCHLITZ,RED,0.53717858,1.386206e+03,7.446400e+02,4.921030e+05,"Oz","SCHLITZ RED BULL NR"
"288", 5230000201,AUGSBURGER,REG,BEER,AUGSBURGER,REG,BEER,0.56852227,5.998005e+01,3.410000e+01,2.129292e+04,"Oz","AUGSBURGER REG BEER"
"289", 5230000207,AUGSBURGER,DARK,BEER,AUGSBURGER,DARK,BEER,0.58640701,6.597806e+01,3.869000e+01,2.342221e+04,"Oz","AUGSBURGER DARK BEER"
"290", 5230000208,AUGSBURGER,REG,BEER,AUGSBURGER,REG,BEER,0.61087775,1.868019e+05,1.077747e+05,6.631467e+07,"Oz","AUGSBURGER REG BEER"
"291", 5230000211,AUGSBURGER,LIGHT,BEE,AUGSBURGER,LIGHT,BEE,0.58506262,2.597136e+03,1.464370e+03,9.219834e+05,"Oz","AUGSBURGER LIGHT BEE"
"292", 5230000214,AUGSBURGER,DARK,BEER,AUGSBURGER,DARK,BEER,0.59949893,3.625195e+04,2.087586e+04,1.286944e+07,"Oz","AUGSBURGER DARK BEER"
"293", 5230000215,AUGSBURGER,BOCK,BEER,AUGSBURGER,BOCK,BEER,0.61369330,5.986009e+03,3.610400e+03,2.125033e+06,"Oz","AUGSBURGER BOCK BEER"
"294", 5230000218,AUGSBURGER,GOLDEN,NR,AUGSBURGER,GOLDEN,NR,0.66605473,4.798404e+01,3.196000e+01,1.703434e+04,"Oz","AUGSBURGER GOLDEN NR"
"295", 5230000226,AUGSBURGER,BOCK,BEER,AUGSBURGER,BOCK,BEER,0.52072865,1.799402e+01,9.370000e+00,6.387876e+03,"Oz","AUGSBURGER BOCK BEER"
"296", 5230000240,AUGSBURGER,GOLDEN,AUGSBURGER,GOLDEN,AUGSBURGER,GOLDEN,0.62611324,4.873440e+05,2.882642e+05,1.730071e+08,"Oz","AUGSBURGER GOLDEN"
"297", 5230000242,AUGSBURGER,DARK,BEER,AUGSBURGER,DARK,BEER,0.61988938,2.075910e+05,1.230708e+05,7.369480e+07,"Oz","AUGSBURGER DARK BEER"
"298", 5230000243,AUGSBURGER,BOCK,AUGSBURGER,BOCK,AUGSBURGER,BOCK,0.61431485,5.388008e+04,3.191583e+04,1.912743e+07,"Oz","AUGSBURGER BOCK"
"299", 5230000289,AUGSBURGER,GOLDEN,NR,AUGSBURGER,GOLDEN,NR,1.01306400,5.498172e+00,5.570000e+00,1.951851e+03,"Oz","AUGSBURGER GOLDEN NR"
